Ref,Sub,CodigoCultivo,VariedadCultivo,CodigoPropietario,NombreParcela
16259A030000310000ZU,0,ALM,Almendros,EU,Parcela
16259A030000320000ZH,0,ALM,Almendros,EU,Parcela
16259A030000520000ZR,0,ALM,Almendros,EU,Parcela
16259A031000160000ZP,0,ALM,Almendros,EU,Parcela
16259A032000340000ZK,0,LAB,Tierra de labor,AS,Parcela
16259A032000350000ZR,0,LAB,Tierra de labor,AS,Parcela
16259A032000380000ZI,0,ALM,Almendros,CA,Parcela
16259A032000390000ZJ,0,ALM,Almendros,CA,Parcela
16259A032000560000ZQ,0,ALM,Almendros,CA,Parcela
16259A033000010000ZQ,a,ALM,Almendros,CA,Parcela
16259A033000010000ZQ,b,ALM,Almendros,CA,Parcela
16259A033000100000ZO,0,ALM,Almendros,CA,Parcela
16259A033002530000ZB,0,LAB,Tierra de labor,MR,Parcela
16259A033002740000ZJ,a,ALM,Almendros,CA,Parcela
16259A033002740000ZJ,b,ALM,Almendros,CA,Parcela
16259A035000040000ZS,0,VIN,Uva blanca,CA,Parcela
16259A035000130000ZB,a,VIN,Uva blanca,JI,Parcela
16259A035000130000ZB,b,FOR,Pinos,JI,Parcela
16259A035000130000ZB,c,VIN,Uva tinta,JI,Parcela
16259A035000140000ZY,a,VIN,Uva tinta,CA,Parcela
16259A035000140000ZY,b,ALM,Almendros,CA,Parcela
16259A035000140000ZY,c,CAM,Carril,CA,Parcela
16259A035000140000ZY,d,FOR,Pinos,CA,Parcela
16259A035000140000ZY,e,FOR,Pinos,CA,Parcela
16259A035000140000ZY,f,FOR,Pinos,CA,Parcela
16259A035000140000ZY,g,OTR,Sin uso,CA,Parcela
16259A035000140000ZY,h,FOR,Pinos,CA,Parcela
16259A035000140000ZY,i,INM,Edificio,CA,Parcela
16259A035000140000ZY,j,INM,Pozo,CA,Parcela
16259A035000150000ZG,0,LAB,Tierra de labor,JI,Parcela
16259A035000400000ZZ,a,VIN,Uva blanca,AS,Parcela
16259A035000400000ZZ,b,FOR,Pinos,AS,Parcela
16259A035000400000ZZ,c,LAB,Tierra de labor,AS,Parcela
16259A035000510000ZQ,0,LAB,Tierra de labor,AS,Parcela
16259A035000590000ZR,0,ALM,Almendros,CA,Parcela
16259A035000620000ZR,0,ALM,Almendros,AS,Parcela
16259A035000670000ZE,a,VIN,Uva tinta,AS,Parcela
16259A035000670000ZE,b,FOR,Pinos,AS,Parcela
16259A036001580000ZF,0,ALM,Almendros,EU,Parcela
16259A036001590000ZM,0,ALM,Almendros,EU,Parcela
16259A036002010000ZI,0,VIN,Uva tinta,CA,Parcela
16259A036002090000ZA,0,ALM,Almendros,CA,Parcela
16259A036002690000ZZ,0,LAB,Tierra de labor,MR,Parcela
16259A036003660000ZZ,a,VIN,Uva blanca,MR,Parcela
16259A036003660000ZZ,b,ERI,Uva blanca,MR,Parcela
16259A037001190000ZH,0,LAB,Tierra de labor,MR,Parcela
16259A037001230000ZW,0,LAB,Tierra de labor,JI,Parcela
16259A037001360000ZM,a,VIN,Uva blanca,JI,Parcela
16259A037001360000ZM,b,FOR,Pinos,JI,Parcela
16259A037001420000ZR,0,LAB,Tierra de labor,JI,Parcela
16259A037001760000ZX,a,FOR,Pinos,CA,Parcela
16259A037001760000ZX,b,VIN,Uva blanca,CA,Parcela
16259A037001760000ZX,c,FOR,Pinos,CA,Parcela
16259A037001760000ZX,d,INM,Edificio,CA,Parcela
16259A037001760000ZX,e,CAM,Carril,CA,Parcela
16259A037001760000ZX,f,INM,Corral,CA,Parcela
16259A037001780000ZJ,0,LAB,Tierra de labor,JI,Parcela
16259A038000020000ZH,a,LAB,Tierra de labor,CO,Parcela
16259A038000020000ZH,b,LAB,Tierra de labor,CO,Parcela
16259A038000250000ZI,0,LAB,Tierra de labor,AS,Parcela
16259A038000530000ZK,0,LAB,Tierra de labor,AS,Parcela
16259A038000570000ZI,0,ALM,Almendros,CA,Parcela
16259A038001480000ZR,0,LAB,Tierra de labor,EU,Parcela
16259A038001630000ZH,0,ALM,Almendros,CA,Parcela
16259A038002720000ZT,0,ALM,Almendros,CA,Parcela
16259A038003010000ZL,0,ALM,Almendros,CA,Parcela
16259A038003340000ZT,0,ALM,Almendros,CA,Parcela
16259A038003530000ZU,0,LAB,Tierra de labor,EU,Parcela
16259A038003660000ZT,0,LAB,Tierra de labor,EU,Parcela
16259A038003830000ZS,0,ALM,Almendros,CA,Parcela
16259A038005250000ZT,0,LAB,Tierra de labor,AS,Parcela
16259A038005540000ZQ,0,ALM,Almendros,CA,Parcela
16259A039000460000ZB,0,LAB,Tierra de labor,JI,Parcela
16259A039001020000ZS,0,ALM,Almendros,CA,Parcela
